time,sv,snr,sv_num,constellation,sat_count,mean_snr,std_snr,label
2026-06-02 06:22:57,G05,34.75,5,G,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,G15,31.0,15,G,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,G18,32.25,18,G,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,G29,28.75,29,G,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,J02,27.0,2,J,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,R01,37.5,1,R,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,R07,35.0,7,R,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,R12,24.75,12,R,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,R13,27.0,13,R,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,R22,31.25,22,R,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,S23,32.5,23,S,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,S27,30.25,27,S,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,S28,31.0,28,S,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:57,S29,31.25,29,S,14,31.017857142857142,3.429880416330819,2
2026-06-02 06:22:58,G05,35.25,5,G,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,G15,31.5,15,G,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,G18,32.25,18,G,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,G29,29.0,29,G,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,J02,27.0,2,J,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,R01,37.25,1,R,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,R07,34.5,7,R,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,R13,28.75,13,R,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,R22,31.0,22,R,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,S23,32.5,23,S,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,S27,30.5,27,S,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,S28,31.0,28,S,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:58,S29,31.25,29,S,13,31.673076923076923,2.7827306272059,2
2026-06-02 06:22:59,G05,34.75,5,G,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,G15,31.5,15,G,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,G18,32.25,18,G,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,G29,28.5,29,G,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,J02,27.25,2,J,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,R01,36.5,1,R,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,R07,34.75,7,R,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,R12,25.0,12,R,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,R13,28.75,13,R,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,R22,31.5,22,R,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,S23,33.0,23,S,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,S27,30.75,27,S,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,S28,31.25,28,S,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:22:59,S29,31.25,29,S,14,31.214285714285715,3.105295017040594,2
2026-06-02 06:23:00,G05,34.0,5,G,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,G15,31.25,15,G,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,G18,32.5,18,G,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,G29,29.0,29,G,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,J02,27.25,2,J,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,R01,35.25,1,R,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,R07,34.5,7,R,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,R13,29.0,13,R,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,R22,32.25,22,R,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,S23,33.0,23,S,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,S27,31.0,27,S,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,S28,31.5,28,S,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:00,S29,31.25,29,S,13,31.673076923076923,2.3034951147310347,2
2026-06-02 06:23:01,G05,34.75,5,G,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,G15,31.75,15,G,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,G18,32.25,18,G,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,G29,29.0,29,G,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,J02,27.25,2,J,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,R01,34.5,1,R,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,R07,33.75,7,R,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,R13,28.75,13,R,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,R22,32.0,22,R,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S23,32.75,23,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S27,30.75,27,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S28,31.25,28,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:01,S29,31.5,29,S,13,31.557692307692307,2.227091353635027,2
2026-06-02 06:23:02,G05,35.25,5,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,G15,31.5,15,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,G18,32.0,18,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,G29,28.75,29,G,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,J02,28.0,2,J,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R01,33.25,1,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R07,34.0,7,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R13,28.75,13,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,R22,32.0,22,R,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S23,33.5,23,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S27,31.25,27,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S28,31.25,28,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:02,S29,31.5,29,S,13,31.615384615384617,2.144798418595616,2
2026-06-02 06:23:03,G05,35.0,5,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,G15,30.75,15,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,G18,31.5,18,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,G29,28.5,29,G,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,J02,28.0,2,J,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R01,31.5,1,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R07,33.75,7,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R13,28.0,13,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,R22,32.0,22,R,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S23,33.0,23,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S27,31.25,27,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S28,31.25,28,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:03,S29,31.25,29,S,13,31.21153846153846,2.101205392760094,2
2026-06-02 06:23:04,G05,34.25,5,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,G15,30.5,15,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,G18,31.5,18,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,G29,29.25,29,G,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,J02,28.0,2,J,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R01,30.25,1,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R07,33.5,7,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R13,27.75,13,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,R22,32.75,22,R,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S23,33.0,23,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S27,30.75,27,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S28,31.25,28,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:04,S29,31.25,29,S,13,31.076923076923077,1.9931774658209465,2
2026-06-02 06:23:05,G05,34.25,5,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,G15,30.25,15,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,G18,30.75,18,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,G29,29.25,29,G,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,J02,28.0,2,J,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R01,30.25,1,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R07,33.5,7,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R13,27.75,13,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,R22,32.25,22,R,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S23,32.75,23,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S27,30.75,27,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S28,31.0,28,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:05,S29,31.25,29,S,13,30.923076923076923,1.9428946815485766,2
2026-06-02 06:23:06,G05,34.5,5,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,G15,30.0,15,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,G18,30.75,18,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,G29,28.25,29,G,13,30.51923076923077,2.2207861278477545,2
2026-06-02 06:23:06,J02,28.0,2,J,13,30.51923076923077,2.2207861278477545,2
